python3 heartbeat.py
/usr/lib/python3/dist-packages/paramiko/pkey.py:59: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
/usr/lib/python3/dist-packages/paramiko/transport.py:220: CryptographyDeprecationWarning: Blowfish has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.Blowfish and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 45.0.0.
  "class": algorithms.Blowfish,
/usr/lib/python3/dist-packages/paramiko/transport.py:244: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "class": algorithms.TripleDES,
| INFO     | heartbeat.v inferred as rtl/verilog
| INFO     | heartbeat.sdc inferred as constraint/sdc
| INFO     | Setting up node import.bluespec0 with bluespec/convert
| WARNING  | Removing import.bluespec0 due to no files in [input,hll,bsv]
| INFO     | Setting up node import.c0 with bambu/convert
| WARNING  | Removing import.c0 due to no files in [input,hll,c] or [input,hll,llvm]
| INFO     | Setting up node import.chisel0 with chisel/convert
| WARNING  | Removing import.chisel0 due to no files in [input,hll,scala] or [input,config,chisel]
| INFO     | Setting up node import.verilog0 with slang/elaborate
| INFO     | Setting up node import.vhdl0 with ghdl/convert
| WARNING  | Removing import.vhdl0 due to no files in [input,rtl,vhdl]
| INFO     | Setting up node import.convert0 with sv2v/convert
| WARNING  | Removing import.convert0 due to will not receive systemverilog to convert
| INFO     | Setting up node import.combine0 with builtin/concatenate
| WARNING  | Removing import.combine0 due to no need to concatenate file
| INFO     | Setting up node syn0 with yosys/syn_asic
| INFO     | Setting up node floorplan.init0 with openroad/init_floorplan
| INFO     | Setting up node floorplan.macro_placement0 with openroad/macro_placement
| INFO     | Setting up node floorplan.tapcell0 with openroad/endcap_tapcell_insertion
| INFO     | Setting up node floorplan.power_grid0 with openroad/power_grid
| INFO     | Setting up node floorplan.pin_placement0 with openroad/pin_placement
| INFO     | Setting up node place.global0 with openroad/global_placement
| INFO     | Setting up node place.repair_design0 with openroad/repair_design
| INFO     | Setting up node place.detailed0 with openroad/detailed_placement
| INFO     | Setting up node cts.clock_tree_synthesis0 with openroad/clock_tree_synthesis
| INFO     | Setting up node cts.repair_timing0 with openroad/repair_timing
| INFO     | Setting up node cts.fillcell0 with openroad/fillercell_insertion
| INFO     | Setting up node route.global0 with openroad/global_route
| INFO     | Setting up node route.antenna_repair0 with openroad/antenna_repair
| INFO     | Setting up node route.detailed0 with openroad/detailed_route
| INFO     | Setting up node dfm.metal_fill0 with openroad/fillmetal_insertion
| WARNING  | Removing dfm.metal_fill0 due to no fill script is available
| INFO     | Setting up node write.gds0 with klayout/export
| INFO     | Setting up node write.views0 with openroad/write_data
| INFO     | Checking manifest before running.
| INFO     | job0 | import.verilog       | 0 | Running in /home/thierry/SILICON_COMPILER/siliconcompiler/examples/heartbeat/build/heartbeat/job0/import.verilog/0
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NAND2_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NAND2_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NAND2_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NAND3_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NAND3_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NAND3_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NAND4_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NAND4_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NAND4_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NOR2_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NOR2_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NOR2_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NOR3_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NOR3_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NOR3_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NOR4_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing b
| INFO     | job0 | syn                  | 0 | lackbox module NOR4_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module NOR4_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI21_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI21_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI21_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI22_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI22_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI22_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI33_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI211_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI211_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI211_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI221_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI221_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI221_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI222_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI222_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OAI222_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OR2_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OR2_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OR2_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OR3_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OR3_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OR3_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OR4_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OR4_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module OR4_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module SDFFRS_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module SDFFRS_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module SDFFR_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module SDFFR_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module SDFFS_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module SDFFS_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module SDFF_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module SDFF_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module TBUF_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module TBUF_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module TBUF_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module TBUF_X8.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module TBUF_X16.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module TINV_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module TLAT_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module XNOR2_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module XNOR2_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module XOR2_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module XOR2_X2.
| INFO     | job0 | syn                  | 0 | Imported 126 cell types from liberty file.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> read_verilog -noblackbox -sv inputs/heartbeat.v
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 3. Executing Verilog-2005 frontend: inputs/heartbeat.v
| INFO     | job0 | syn                  | 0 | Parsing SystemVerilog input from `inputs/heartbeat.v' to AST representation.
| INFO     | job0 | syn                  | 0 | Generating RTLIL representation for module `\heartbeat'.
| INFO     | job0 | syn                  | 0 | Successfully finished Verilog frontend.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> chparam -list heartbeat
| INFO     | job0 | syn                  | 0 | heartbeat:
| INFO     | job0 | syn                  | 0 |   N
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> hierarchy -top heartbeat
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 4. Executing HIERARCHY pass (managing design hierarchy).
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 4.1. Analyzing design hierarchy..
| INFO     | job0 | syn                  | 0 | Top module:  \heartbeat
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 4.2. Analyzing design hierarchy..
| INFO     | job0 | syn                  | 0 | Top module:  \heartbeat
| INFO     | job0 | syn                  | 0 | Removed 0 unused modules.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> tribuf
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 5. Executing TRIBUF pass.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> scratchpad -set flatten.separator /
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> synth -flatten -extra-map /home/thierry/.local/lib/python3.8/site-packages/siliconcompiler/tools/yosys/techmaps/lcu_kogge_stone.v -top heartbeat -run begin:fine
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6. Executing SYNTH pass.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> hierarchy -check -top heartbeat
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.1. Executing HIERARCHY pass (managing design hierarchy).
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.1.1. Analyzing design hierarchy..
| INFO     | job0 | syn                  | 0 | Top module:  \heartbeat
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.1.2. Analyzing design hierarchy..
| INFO     | job0 | syn                  | 0 | Top module:  \heartbeat
| INFO     | job0 | syn                  | 0 | Removed 0 unused modules.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> proc
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2. Executing PROC pass (convert processes to netlists).
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> proc_clean
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2.1. Executing PROC_CLEAN pass (remove empty switches from decision trees).
| INFO     | job0 | syn                  | 0 | Cleaned up 0 empty switches.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> proc_rmdead
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2.2. Executing PROC_RMDEAD pass (remove dead branches from decision trees).
| INFO     | job0 | syn                  | 0 | Marked 1 switch rules as full_case in process $proc$inputs/heartbeat.v:14$992 in module heartbeat.
| INFO     | job0 | syn                  | 0 | Removed a total of 0 dead cases.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> proc_prune
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2.3. Executing PROC_PRUNE pass (remove redundant assignments in processes).
| INFO     | job0 | syn                  | 0 | Removed 2 redundant assignments.
| INFO     | job0 | syn                  | 0 | Promoted 0 assignments to connections.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> proc_init
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2.4. Executing PROC_INIT pass (extract init attributes).
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> proc_arst
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2.5. Executing PROC_ARST pass (detect async resets in processes).
| INFO     | job0 | syn                  | 0 | Found async reset \nreset in `\heartbeat.$proc$inputs/heartbeat.v:14$992'.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> proc_rom
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2.6. Executing PROC_ROM pass (convert switches to ROMs).
| INFO     | job0 | syn                  | 0 | Converted 0 switches.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> proc_mux
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2.7. Executing PROC_MUX pass (convert decision trees to multiplexers).
| INFO     | job0 | syn                  | 0 | Creating decoders for process `\heartbeat.$proc$inputs/heartbeat.v:14$992'.
| INFO     | job0 | syn                  | 0 |      1/2: $0\out[0:0]
| INFO     | job0 | syn                  | 0 |      2/2: $0\counter_reg[7:0]
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> proc_dlatch
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2.8. Executing PROC_DLATCH pass (convert process syncs to latches).
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> proc_dff
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2.9. Executing PROC_DFF pass (convert process syncs to FFs).
| INFO     | job0 | syn                  | 0 | Creating register for signal `\heartbeat.\out' using process `\heartbeat.$proc$inputs/heartbeat.v:14$992'.
| INFO     | job0 | syn                  | 0 |   created $adff cell `$procdff$1000' with positive edge clock and positive level reset.
| INFO     | job0 | syn                  | 0 | Creating register for signal `\heartbeat.\counter_reg' using process `\heartbeat.$proc$inputs/heartbeat.v:14$992'.
| INFO     | job0 | syn                  | 0 |   created $adff cell `$procdff$1005' with positive edge clock and positive level reset.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> proc_memwr
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2.10. Executing PROC_MEMWR pass (convert process memory writes to cells).
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> proc_clean
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2.11. Executing PROC_CLEAN pass (remove empty switches from decision trees).
| INFO     | job0 | syn                  | 0 | Removing empty process `heartbeat.$proc$inputs/heartbeat.v:14$992'.
| INFO     | job0 | syn                  | 0 | Cleaned up 0 empty switches.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> opt_expr -keepdc
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.2.12. Executing OPT_EXPR pass (perform const folding).
| INFO     | job0 | syn                  | 0 | Optimizing module heartbeat.
| INFO     | job0 | syn                  | 0 | <suppressed ~4 debug messages>
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> flatten
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 6.3. Executing FLATTEN pass (flatten design).
| INFO     | job0 | syn                  | 0 | 
